seconds,watts
0,585
6,586
12,582
18,580
24,580
30,581
36,580
42,581
48,579
54,581
60,578
66,572
72,573
78,574
84,573
90,570
96,567
102,567
108,566
114,566
120,566
126,567
132,567
138,568
144,574
150,567
156,566
162,566
168,565
174,566
180,564
186,565
192,567
198,566
204,566
210,566
216,566
222,565
228,568
234,578
240,588
246,591
252,583
258,667
264,1928
270,2192
276,2190
282,2186
288,2191
294,2181
300,1277
306,611
312,574
318,574
324,572
330,573
336,572
342,566
348,565
354,565
360,566
366,566
372,566
378,565
384,565
390,537
396,469
402,468
408,468
414,469
420,469
426,470
432,469
438,467
444,466
450,467
456,468
462,467
468,467
474,468
480,468
486,474
492,490
498,489
504,488
510,486
516,484
522,484
528,485
534,485
540,484
546,485
552,484
558,484
564,475
570,475
576,476
582,475
588,475
594,471
600,471
606,469
612,470
618,470
624,470
630,470
636,470
642,470
648,471
654,471
660,471
666,472
672,471
678,471
684,472
690,470
696,470
702,470
708,469
714,470
720,470
726,470
732,470
738,488
744,489
750,488
756,487
762,485
768,485
774,485
780,484
786,485
792,485
798,486
804,486
810,481
816,477
822,479
828,479
834,478
840,474
846,472
852,473
858,473
864,472
870,472
876,472
882,472
888,472
894,472
900,472
906,472
912,472
918,472
924,472
930,472
936,472
942,471
948,471
954,471
960,471
966,471
972,470
978,471
984,473
990,492
996,491
1002,488
1008,485
1014,485
1020,485
1026,485
1032,485
1038,484
1044,484
1050,483
1056,483
1062,476
1068,476
1074,476
1080,476
1086,474
1092,471
1098,471
1104,471
1110,471
1116,472
1122,471
1128,471
1134,472
1140,472
1146,470
1152,429
1158,422
1164,422
1170,422
1176,423
1182,422
1188,422
1194,422
1200,422
1206,422
1212,419
1218,420
1224,420
1230,421
1236,430
1242,442
1248,440
1254,439
1260,436
1266,434
1272,434
1278,434
1284,433
1290,434
1296,436
1302,437
1308,431
1314,429
1320,429
1326,428
1332,427
1338,425
1344,423
1350,424
1356,423
1362,423
1368,421
1374,422
1380,423
1386,422
1392,422
1398,422
1404,422
1410,422
1416,422
1422,423
1428,423
1434,422
1440,422
1446,421
1452,422
1458,421
1464,421
1470,421
1476,421
1482,421
1488,443
1494,441
1500,440
1506,438
1512,436
1518,436
1524,436
1530,431
1536,432
1542,431
1548,430
1554,427
1560,422
1566,412
1572,336
1578,336
1584,333
1590,331
1596,331
1602,331
1608,330
1614,330
1620,330
1626,330
1632,329
1638,330
1644,330
1650,331
1656,331
1662,331
1668,331
1674,331
1680,331
1686,330
1692,331
1698,331
1704,332
1710,331
1716,331
1722,331
1728,330
1734,339
1740,351
1746,351
1752,349
1758,346
1764,346
1770,345
1776,346
1782,346
