seconds,watts
0,108
6,108
12,108
18,108
24,108
30,108
36,108
42,108
48,108
54,108
60,108
66,108
72,108
78,108
84,108
90,108
96,108
102,108
108,108
114,108
120,108
126,108
132,108
138,1827
144,1827
150,1827
156,1827
162,1827
168,1827
174,1827
180,1827
186,1827
192,1827
198,1827
204,1827
210,1827
216,1827
222,1827
228,1827
234,1827
240,1827
246,1827
252,1827
258,1827
264,1827
270,1827
276,1827
282,1827
288,1827
294,1827
300,1827
306,1827
312,1827
318,1827
324,1827
330,1827
336,1827
342,1827
348,1827
354,1827
360,1827
366,1827
372,1827
378,1827
384,1827
390,1827
396,1827
402,1827
408,1827
414,1827
420,1827
426,1827
432,1827
438,1827
444,1827
450,1827
456,1827
462,1827
468,1827
474,1827
480,1827
486,1827
492,1827
498,1827
504,1827
510,1827
516,1827
522,1827
528,1827
534,1827
540,1827
546,1827
552,1827
558,1827
564,1827
570,1827
576,1827
582,1827
588,1827
594,1827
600,1827
606,1827
612,1827
618,1827
624,1827
630,1827
636,1827
642,1827
648,1827
654,1827
660,1827
666,1827
672,1827
678,1827
684,1827
690,1827
696,1827
702,1827
708,1827
714,1827
720,1827
726,1827
732,1827
738,1827
744,1827
750,1827
756,1827
762,1827
768,1827
774,1827
780,1827
786,1827
792,1827
798,1827
804,1827
810,1827
816,1827
822,1827
828,1827
834,1827
840,1827
846,1827
852,1827
858,1827
864,1827
870,1827
876,1827
882,1827
888,1827
894,1827
900,1827
906,1827
912,1827
918,1827
924,1827
930,1827
936,1827
942,1827
948,1827
954,1827
960,1827
966,1827
972,1827
978,1827
984,1827
990,1827
996,1827
1002,1827
1008,1827
1014,1827
1020,1827
1026,1827
1032,1827
1038,1827
1044,1827
1050,1827
1056,1827
1062,1827
1068,1827
1074,1827
1080,1827
1086,1827
1092,1827
1098,1827
1104,1827
1110,1827
1116,1827
1122,1827
1128,1827
1134,1827
1140,1827
1146,1827
1152,1827
1158,1827
1164,1827
1170,1827
1176,1827
1182,1827
1188,1827
1194,1827
1200,1827
1206,1827
1212,1827
1218,1827
1224,1827
1230,1827
1236,1827
1242,1827
1248,1827
1254,1827
1260,1827
1266,1827
1272,1827
1278,1827
1284,1827
1290,1827
1296,1827
1302,1827
1308,1827
1314,1827
1320,1827
1326,1827
1332,1827
1338,1827
1344,1827
1350,1827
1356,1827
1362,1827
1368,1827
1374,1827
1380,1827
1386,1827
1392,1827
1398,1827
1404,1827
1410,1827
1416,1827
1422,1827
1428,1827
1434,1827
1440,1827
1446,1827
1452,1827
1458,184
1464,184
1470,184
1476,184
1482,184
1488,184
1494,184
1500,184
1506,184
1512,184
1518,184
1524,184
1530,184
1536,184
1542,184
1548,184
1554,184
1560,184
1566,184
1572,184
1578,184
1584,184
1590,184
1596,184
1602,184
1608,184
1614,184
1620,184
1626,184
1632,184
1638,184
1644,184
1650,184
1656,184
1662,184
1668,184
1674,184
1680,184
1686,184
1692,184
1698,184
1704,184
1710,184
1716,184
1722,184
1728,184
1734,184
1740,184
1746,184
1752,184
1758,184
1764,184
1770,1868
1776,1868
1782,1868
1788,1868
1794,1868
1800,1868
1806,1868
1812,1868
1818,1868
1824,1868
1830,1868
1836,1868
1842,1868
1848,1868
1854,1868
1860,186
1866,186
1872,186
1878,186
1884,186
1890,186
1896,186
1902,186
1908,186
1914,186
1920,186
1926,186
1932,186
1938,186
1944,186
1950,186
1956,186
1962,186
1968,186
1974,186
1980,186
1986,186
1992,186
1998,186
2004,186
2010,186
2016,186
2022,186
2028,186
2034,186
2040,186
2046,186
2052,186
2058,186
2064,186
2070,186
2076,186
2082,186
2088,186
2094,186
2100,186
2106,186
2112,186
2118,186
2124,186
2130,186
2136,186
2142,186
2148,186
2154,186
2160,186
2166,186
2172,1854
2178,1854
2184,1854
2190,1854
2196,1854
2202,1854
2208,1854
2214,1854
2220,1854
2226,1854
2232,1854
2238,149
2244,149
2250,149
2256,149
2262,149
2268,149
2274,149
2280,149
2286,149
2292,149
2298,149
2304,149
2310,149
2316,149
2322,149
2328,149
2334,149
2340,149
2346,149
2352,149
2358,149
2364,149
2370,149
2376,149
2382,149
2388,149
2394,149
2400,149
2406,149
2412,149
2418,149
2424,149
2430,149
2436,149
2442,149
2448,149
2454,149
2460,149
2466,149
2472,149
2478,149
2484,149
2490,149
2496,149
2502,149
2508,149
2514,149
2520,149
2526,149
2532,149
2538,149
2544,149
2550,1832
2556,1832
2562,1832
2568,1832
2574,1832
2580,1832
2586,1832
2592,1832
2598,1832
2604,159
2610,159
2616,159
2622,159
2628,159
2634,159
2640,159
2646,159
2652,159
2658,159
2664,159
2670,159
2676,159
2682,159
2688,159
2694,159
2700,159
2706,159
2712,159
2718,159
2724,159
2730,159
2736,159
2742,159
2748,159
2754,159
2760,159
2766,159
2772,159
2778,159
2784,159
2790,159
2796,159
2802,159
2808,159
2814,159
2820,159
2826,159
2832,159
2838,159
2844,159
2850,159
2856,159
2862,159
2868,159
2874,159
2880,159
